Wavelength nm,Sample 1,Sample 2,Sample3,Sample 4
705.5,0.125,-0.14,-0.034,0.59
706,-0.201,-0.4,-0.557,0.111
706.5,-0.622,-0.809,-1.207,-0.432
707,-1.138,-1.288,-1.783,-1.022
707.5,-1.572,-1.609,-2.006,-1.263
708,-1.831,-1.786,-2.066,-1.362
708.5,-2.049,-1.982,-2.069,-1.559
709,-2.201,-2.252,-2.219,-1.845
709.5,-2.398,-2.567,-2.536,-2.186
710,-2.338,-2.635,-2.471,-2.125
710.5,-2.12,-2.517,-2.212,-1.912
711,-1.623,-2.061,-1.89,-1.522
711.5,-0.971,-1.44,-1.328,-0.933
712,-0.217,-0.654,-0.58,-0.18
712.5,0.603,0.306,0.312,0.633
713,1.464,1.266,1.112,1.398
713.5,2.002,1.879,1.716,1.882
714,2.137,1.956,1.771,2.01
714.5,1.581,1.508,1.316,1.759
715,0.83,0.851,0.818,1.267
715.5,0.209,0.206,0.362,0.928
716,-0.262,-0.325,0.002,0.693
716.5,-0.38,-0.501,-0.005,0.722
717,-0.121,-0.366,0.143,0.915
717.5,0.392,0.035,0.507,1.161
718,0.981,0.529,0.906,1.449
718.5,1.43,1.056,1.271,1.683
719,1.516,1.289,1.303,1.65
719.5,1.134,1.232,1.054,1.396
720,0.626,0.83,0.562,0.861
720.5,0.203,0.369,0.183,0.474
721,-0.437,-0.339,-0.383,-0.006
721.5,-0.879,-0.839,-0.852,-0.347
722,-1.009,-1.167,-1.103,-0.414
722.5,-0.973,-1.265,-1.061,-0.299
723,-0.73,-1.216,-0.868,-0.135
723.5,-0.549,-1.039,-0.725,-0.013
724,-0.497,-0.902,-0.586,0.036
724.5,-0.432,-0.654,-0.283,0.152
725,-0.209,-0.413,0.016,0.386
725.5,-0.068,-0.188,0.256,0.555
726,-0.372,-0.456,0.04,0.351
726.5,-0.791,-0.775,-0.371,-0.06
727,-1.002,-1.021,-0.565,-0.347
727.5,-1.068,-1.252,-0.865,-0.637
728,-1.068,-1.408,-1.002,-0.971
728.5,-1.022,-1.477,-1.067,-1.21
729,-0.832,-1.323,-0.856,-1.167
729.5,-0.684,-1.079,-0.623,-1.044
730,-0.55,-0.824,-0.409,-0.838
730.5,-0.555,-0.644,-0.366,-0.653
731,-0.764,-0.75,-0.565,-0.642
731.5,-1.103,-1.048,-0.915,-0.677
732,-1.403,-1.348,-1.177,-0.734
732.5,-1.565,-1.56,-1.38,-0.782
733,-1.609,-1.592,-1.38,-0.824
733.5,-1.453,-1.454,-1.246,-0.745
734,-1.354,-1.351,-1.263,-0.782
734.5,-1.399,-1.392,-1.457,-0.971
735,-1.35,-1.502,-1.542,-1.207
735.5,-1.318,-1.748,-1.763,-1.392
736,-1.312,-1.967,-1.971,-1.581
736.5,-1.536,-2.293,-2.223,-1.884
737,-2.069,-2.793,-2.617,-2.275
737.5,-2.537,-3.147,-2.767,-2.593
738,-2.893,-3.282,-2.842,-2.762
738.5,-3.008,-3.131,-2.731,-2.606
739,-3.003,-2.747,-2.531,-2.269
739.5,-2.7,-2.32,-2.176,-1.738
740,-2.111,-1.782,-1.579,-1.06
740.5,-1.682,-1.554,-1.215,-0.627
741,-1.405,-1.343,-1.098,-0.506
741.5,-1.25,-1.174,-0.952,-0.498
742,-1.274,-1.185,-0.992,-0.674
742.5,-1.178,-1.173,-0.815,-0.91
743,-1.117,-0.957,-0.646,-0.876
743.5,-1.078,-0.867,-0.574,-0.769
744,-0.982,-0.738,-0.425,-0.447
744.5,-0.965,-0.783,-0.352,-0.172
